# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Jul 2021
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2021-02).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
1  0 -0.1245089        NaN  0.8601886        NaN -0.0055177        NaN -0.0203225        NaN -0.1027370        NaN  0.0485634        NaN  0.0726384        NaN  0.0392670        NaN -0.0466776        NaN  0.0048180        NaN  0.0427343        NaN -0.0111775        NaN  0.1316617        NaN -0.0021977        NaN  0.0003531        NaN  0.0049278        NaN  0.0058179        NaN -0.0001081        NaN  0.0048927        NaN -0.0004392        NaN  0.0055420        NaN -0.0008782        NaN  0.0051219        NaN -0.0007614        NaN  0.0793110        NaN -0.0376551        NaN  0.0255460        NaN  0.0156327        NaN -0.0027002        NaN  0.0155551        NaN  0.0122598        NaN  0.0006088        NaN -0.0028604        NaN  0.0000057        NaN -0.0051339        NaN -0.0009023        NaN  0.0246434        NaN  0.0116494        NaN
1  1  1.2718480  0.0197516 -0.1810958  0.0637185 -0.0103761  0.0180256 -0.0316553  0.0284965 -1.2327443  0.9455673  0.0297231  0.0673956 -1.0021936  0.5162246  0.0269040 -0.0105784 -0.0315818  0.0223697  0.0444276 -0.0221750  0.1993567 -0.3495876  0.0262845 -0.0382165  0.0032353  0.0072932 -0.0071214  0.0003048 -0.0026867  0.0164770 -0.0012425 -0.0020268 -0.0050111  0.0033680 -0.0026993 -0.0008365 -0.0088591 -0.0021818 -0.0027951  0.0017771  0.0060376 -0.0060439  0.0000431 -0.0000810 -0.0054311 -0.0057858 -0.0008671  0.0018026 -0.1218805  0.0505179 -0.0466551  0.0199296  0.0085542  0.0167969  0.0153780 -0.0180299  0.0690095 -0.0501354  0.0403728 -0.0165909  0.0020012  0.0011418  0.0000114 -0.0008877  0.0039810 -0.0011503  0.0003982 -0.0000463 -0.0035648 -0.0020868 -0.0008853  0.0017491 -0.0090829  0.0024371 -0.0022017  0.0038691
2  0 -0.1803431        NaN -0.1128225        NaN  0.0180316        NaN  0.0012740        NaN  0.1711450        NaN  0.0054172        NaN  0.1337232        NaN -0.0150834        NaN -0.0078127        NaN  0.0053243        NaN -0.0717412        NaN  0.0172219        NaN -0.0014419        NaN  0.0400853        NaN  0.0073672        NaN -0.0008031        NaN  0.0026772        NaN  0.0029280        NaN  0.0009982        NaN  0.0024753        NaN -0.0064381        NaN -0.0000503        NaN  0.0012267        NaN -0.0007851        NaN  0.0413185        NaN -0.0302820        NaN  0.0121149        NaN  0.0144671        NaN -0.0425467        NaN  0.0175449        NaN -0.0021769        NaN  0.0012096        NaN -0.0021152        NaN  0.0005946        NaN  0.0026041        NaN -0.0004105        NaN -0.0043851        NaN -0.0027952        NaN
2  1  0.0296612 -0.4883553 -0.5224793  0.0093956 -0.1605615 -0.3043801  0.0076729 -0.0169406 -0.0038361 -0.0104043 -0.1484191  0.2216226 -0.0023908 -0.0046699  0.0035184  0.0765892 -0.3050637  0.1076304  0.0094258  0.0031023  0.0253272  0.0004449  0.0172030 -0.0588166  0.0217788 -0.0670575 -0.0079845  0.0075941  0.0018925  0.0053144  0.0003549  0.0020631  0.0033786 -0.0041614  0.0016197  0.0024393 -0.0021160  0.0189192 -0.0002974  0.0015117 -0.0007637 -0.0013481 -0.0006271 -0.0016705 -0.0045985 -0.0034100 -0.0013886 -0.0003731 -0.0239843 -0.0204688  0.0078709  0.0590191 -0.1497385  0.0643141  0.0025270 -0.0179642  0.0116307  0.0106357  0.0121521 -0.0508996  0.0001670  0.0112275  0.0006571  0.0003161  0.0004911 -0.0007464  0.0007159 -0.0000791 -0.0000718 -0.0028104 -0.0007668  0.0001902  0.0009124 -0.0028483 -0.0111862 -0.0064809
2  2 -0.2525792  0.2345173  0.1832911 -0.1095854  0.0730802 -0.0020479  0.0108183  0.0095928 -0.0392749 -0.2217165 -0.0211846 -0.0012062  0.0250427  0.0247578  0.0036015 -0.0160481 -0.0111628 -0.0213713  0.0059042 -0.0022031  0.0266941  0.1358889 -0.0014023 -0.0028469 -0.0026371  0.0074358  0.0068181 -0.0056806 -0.0020418 -0.0032778 -0.0013377  0.0011918 -0.0024732 -0.0057702  0.0012877  0.0027382  0.0040913 -0.0050012  0.0011651 -0.0011279  0.0023025  0.0011819  0.0001807  0.0000160  0.0049404 -0.0011148  0.0001280 -0.0007656 -0.0126315 -0.0551032  0.0011257  0.0062811 -0.0085297  0.0066340 -0.0034437  0.0084474  0.0221849  0.0763513 -0.0029631 -0.0167197 -0.0015248  0.0024166  0.0000487 -0.0002576 -0.0010653  0.0009629 -0.0002776  0.0001940  0.0010837 -0.0029807  0.0002844 -0.0009352  0.0068591 -0.0014491  0.0006230 -0.0030051
3  0 -0.0321639        NaN  0.1588887        NaN  0.0484724        NaN -0.0106098        NaN -0.0028405        NaN -0.1294279        NaN  0.0023423        NaN  0.0158042        NaN -0.1277318        NaN  0.0030339        NaN  0.0076516        NaN  0.0848568        NaN -0.0203488        NaN -0.0015772        NaN  0.0019575        NaN -0.0017453        NaN -0.0048365        NaN  0.0009068        NaN -0.0002016        NaN -0.0013867        NaN -0.0035631        NaN  0.0027295        NaN -0.0034113        NaN -0.0014013        NaN -0.0199460        NaN -0.0006472        NaN -0.0765930        NaN  0.0007949        NaN  0.0017937        NaN  0.0189993        NaN -0.0007508        NaN  0.0013784        NaN  0.0018990        NaN  0.0023854        NaN -0.0001708        NaN -0.0016874        NaN -0.0147329        NaN -0.0072335        NaN
3  1  0.4040257 -0.1625611  0.0053465 -0.0272587  0.0235902 -0.0516561 -0.0741870  0.0526541 -0.9631472  0.9347260  0.0163038 -0.0048326 -0.7056496  0.6084178  0.0318882  0.0191506 -0.0210583  0.0342864  0.0385335  0.0176214  0.1935229 -0.3478800  0.0078769  0.0151239  0.0021005  0.0009009 -0.0238412 -0.0174712 -0.0058948  0.0122506  0.0011022  0.0007198 -0.0058347  0.0004056 -0.0049090 -0.0032671 -0.0023409 -0.0016823  0.0012498 -0.0014316  0.0039313 -0.0048855 -0.0001129 -0.0000823 -0.0009919 -0.0006256  0.0012920  0.0021192 -0.0976691  0.0791835 -0.0036337 -0.0225295 -0.0099354  0.0249677 -0.0002003  0.0349418  0.0863106 -0.0910237  0.0091766  0.0184317  0.0014380  0.0006951  0.0003847 -0.0010377 -0.0005362 -0.0003396 -0.0003349 -0.0003792 -0.0026565 -0.0010509  0.0003362  0.0008809  0.0059872  0.0020143  0.0015710 -0.0007996
3  2  0.1009269  0.2077785  0.6893177 -0.0814453  0.0259935 -0.0381179 -0.0062105 -0.0208527  0.0005521 -0.0178024 -0.0254838  0.0821715 -0.0061805 -0.0002194 -0.0274321 -0.0043176 -0.0051863  0.0163303 -0.0008213  0.0046247 -0.0042402  0.0207761 -0.0223552 -0.0170388  0.0083880  0.0101519  0.0034521 -0.0086023  0.0011588 -0.0003043  0.0002302  0.0005071  0.0018255 -0.0057295 -0.0005312 -0.0008045  0.0031015 -0.0030408 -0.0000752 -0.0003016 -0.0006024  0.0003718 -0.0000976 -0.0005038 -0.0002880 -0.0006366  0.0000533 -0.0003440  0.0062346 -0.0067246  0.0124381 -0.0118784 -0.0202424  0.0045722  0.0034623  0.0038580 -0.0072767  0.0060639 -0.0173758 -0.0040011  0.0000311  0.0017728 -0.0001370  0.0009940 -0.0001603  0.0003545 -0.0003223 -0.0000447 -0.0005141 -0.0021300 -0.0000199 -0.0009757 -0.0018118  0.0021099  0.0069135  0.0048807
3  3 -0.0453007  0.0584979 -0.0305218  0.1064876 -0.0399331  0.0033366 -0.0108156 -0.0111694 -0.0081887 -0.0174040  0.0321784 -0.0520626  0.0105771 -0.0024397  0.0149916 -0.0208875  0.0030222 -0.0155272 -0.0023067  0.0072718 -0.0045904  0.0070348  0.0110189 -0.0187169 -0.0045688  0.0007399 -0.0036440  0.0137590  0.0016883  0.0002702  0.0009906  0.0009644  0.0045618  0.0041097  0.0017179 -0.0004498 -0.0012944  0.0003039 -0.0005329 -0.0000928 -0.0003641 -0.0007618 -0.0000166 -0.0004236 -0.0039178 -0.0043533 -0.0009413  0.0000976  0.0181440  0.0063119 -0.0005044  0.0101657  0.0052373  0.0056885  0.0048639 -0.0006804 -0.0023643  0.0014344  0.0035664 -0.0088907  0.0020584  0.0004712  0.0005331 -0.0000906  0.0013807  0.0001958 -0.0001033  0.0000246 -0.0015717 -0.0005174 -0.0006366  0.0002113 -0.0009349 -0.0022624  0.0003455  0.0007256
4  0 -0.2902775        NaN  0.1262064        NaN -0.0216746        NaN  0.0078180        NaN  0.2103072        NaN -0.0386127        NaN  0.2429521        NaN  0.0121802        NaN  0.0147377        NaN  0.0387208        NaN -0.0511328        NaN  0.0401958        NaN  0.0010829        NaN -0.0051310        NaN  0.0073696        NaN  0.0007373        NaN  0.0032928        NaN  0.0016199        NaN  0.0025191        NaN  0.0045465        NaN -0.0081463        NaN -0.0000271        NaN -0.0002105        NaN -0.0000312        NaN  0.0510098        NaN -0.0237966        NaN  0.0044830        NaN  0.0243423        NaN -0.0240106        NaN  0.0263049        NaN -0.0007021        NaN  0.0010639        NaN -0.0063404        NaN  0.0000779        NaN -0.0010448        NaN -0.0002106        NaN  0.0000273        NaN  0.0004139        NaN
