# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Mar 2024
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2023-12).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
1  0 -0.0905818        NaN  1.1166701        NaN -0.0099020        NaN -0.0305417        NaN -0.0963091        NaN  0.0801085        NaN  0.0669347        NaN  0.0355694        NaN -0.0465557        NaN  0.0111015        NaN  0.0454394        NaN -0.0132324        NaN  0.1605089        NaN -0.0012492        NaN  0.0013774        NaN  0.0029463        NaN  0.0061610        NaN -0.0009088        NaN -0.0007651        NaN  0.0001185        NaN  0.0076430        NaN -0.0006625        NaN  0.0085455        NaN  0.0002564        NaN  0.0589574        NaN -0.0284830        NaN  0.0358777        NaN  0.0169369        NaN  0.0033194        NaN  0.0065491        NaN  0.0092441        NaN -0.0002263        NaN  0.0009068        NaN  0.0002781        NaN -0.0028127        NaN -0.0000177        NaN  0.0202079        NaN  0.0081956        NaN
1  1  0.7902282  0.1693057 -0.2550524  0.1479230  0.0077435 -0.0083686 -0.0298708  0.0414186 -1.3242915  0.9774399  0.0451684  0.0754664 -1.0309077  0.5543449  0.0302648  0.0004030 -0.0378721  0.0227485  0.0412371 -0.0241778  0.1782524 -0.3205545  0.0223790 -0.0231385  0.0054507  0.0036695 -0.0046788  0.0004781 -0.0022852  0.0162690 -0.0009232 -0.0017450 -0.0059445  0.0040040 -0.0023746 -0.0008910 -0.0069685  0.0005475 -0.0019495  0.0014227  0.0056943 -0.0062948  0.0000020  0.0000327 -0.0030777 -0.0028386  0.0000256  0.0013097 -0.0707062  0.0393932 -0.0478451  0.0077977  0.0028852  0.0154548  0.0166913 -0.0163907  0.0295343 -0.0298065  0.0421456 -0.0079481  0.0001422  0.0000524 -0.0009652 -0.0007616  0.0034052 -0.0008792  0.0003993 -0.0000331 -0.0021426 -0.0005597  0.0000951  0.0015775 -0.0063698  0.0008629 -0.0011283  0.0026932
2  0 -0.3025833        NaN -0.3430138        NaN  0.0259260        NaN -0.0002744        NaN  0.2005157        NaN  0.0255106        NaN  0.1370332        NaN -0.0058716        NaN -0.0119695        NaN  0.0035375        NaN -0.0723223        NaN  0.0165247        NaN -0.0012412        NaN  0.0423175        NaN  0.0080243        NaN -0.0006084        NaN  0.0019956        NaN  0.0032902        NaN  0.0005978        NaN  0.0027836        NaN -0.0066597        NaN -0.0001458        NaN  0.0014710        NaN -0.0008145        NaN  0.0361235        NaN -0.0270325        NaN  0.0076973        NaN  0.0140211        NaN -0.0379289        NaN  0.0170742        NaN -0.0023339        NaN  0.0013945        NaN -0.0025603        NaN  0.0004604        NaN  0.0023131        NaN -0.0004428        NaN -0.0037081        NaN -0.0011080        NaN
2  1 -0.0106328 -0.6811801 -0.5910615  0.0907392 -0.1604709 -0.2956542  0.0013885 -0.0239360 -0.0198336 -0.0056043 -0.1492898  0.2587612 -0.0056621 -0.0081384 -0.0000904  0.0713506 -0.3100241  0.1112511  0.0123515  0.0070671  0.0217669 -0.0058848  0.0195477 -0.0654224  0.0163705 -0.0619670 -0.0091146  0.0074496  0.0012906  0.0071634  0.0009706  0.0032075  0.0038204 -0.0058122  0.0014184  0.0018683 -0.0000732  0.0175921 -0.0001294  0.0016326 -0.0008842 -0.0025002 -0.0007747 -0.0018370 -0.0030146 -0.0040930 -0.0014040  0.0000794 -0.0281939 -0.0068136  0.0107067  0.0565687 -0.1572227  0.0591598  0.0039403 -0.0142090  0.0171423 -0.0060794  0.0089459 -0.0542720  0.0002264  0.0101311  0.0010150  0.0000355  0.0003366 -0.0005980  0.0006945 -0.0000963  0.0003269 -0.0023768 -0.0009427  0.0003673  0.0011339 -0.0021159 -0.0105922 -0.0068657
2  2 -0.3100112  0.3032239  0.2182886 -0.1584888  0.1099231  0.0252540  0.0267303  0.0011869 -0.0799622 -0.1832432 -0.0220266 -0.0099493  0.0271034 -0.0144523  0.0122151 -0.0241269 -0.0239190 -0.0139030  0.0028839 -0.0007024  0.0421942  0.0750920  0.0078305 -0.0151739  0.0012037 -0.0020180  0.0062445 -0.0067809 -0.0073709 -0.0002201 -0.0011931  0.0011453 -0.0020133 -0.0052158  0.0016237  0.0021679  0.0030197 -0.0039218  0.0012885 -0.0011590  0.0030029  0.0006448  0.0002346 -0.0000457  0.0050564 -0.0003235 -0.0000208 -0.0006500 -0.0299318 -0.0160355 -0.0017147  0.0177829  0.0003683 -0.0024579 -0.0063612  0.0079313  0.0391601  0.0267587  0.0028961 -0.0252542 -0.0014628  0.0026414  0.0003383 -0.0001417  0.0001680  0.0005537 -0.0003499  0.0002217  0.0012867 -0.0021875  0.0001686 -0.0009986  0.0081790 -0.0015475  0.0003072 -0.0023641
3  0 -0.0475127        NaN  0.2401493        NaN  0.0449538        NaN -0.0152500        NaN -0.0178363        NaN -0.1073918        NaN -0.0053075        NaN  0.0124267        NaN -0.1280132        NaN  0.0062557        NaN  0.0069735        NaN  0.0817280        NaN -0.0168694        NaN -0.0008541        NaN  0.0033026        NaN -0.0010503        NaN -0.0051887        NaN  0.0010573        NaN  0.0033211        NaN -0.0011397        NaN -0.0049844        NaN  0.0024949        NaN -0.0049899        NaN -0.0010879        NaN -0.0157783        NaN -0.0030682        NaN -0.0765136        NaN  0.0018600        NaN -0.0007339        NaN  0.0151705        NaN -0.0006594        NaN  0.0011465        NaN -0.0004197        NaN  0.0022765        NaN -0.0002115        NaN -0.0014758        NaN -0.0116843        NaN -0.0073754        NaN
3  1  0.4936595 -0.1576971  0.0405539 -0.0080548  0.0134007 -0.0372906 -0.0644936  0.0472848 -1.0153669  0.9707315  0.0164595  0.0139509 -0.7066332  0.6085900  0.0343301  0.0119979 -0.0184807  0.0273895  0.0378903  0.0173921  0.2067749 -0.3429681  0.0093482  0.0033881  0.0021212  0.0006739 -0.0244950 -0.0172431 -0.0063789  0.0122301  0.0019565  0.0002225 -0.0045555  0.0006155 -0.0051895 -0.0029518 -0.0007640 -0.0019214  0.0012939 -0.0018582  0.0039330 -0.0048428 -0.0003508  0.0001137 -0.0002974 -0.0004513  0.0011871  0.0017608 -0.0792586  0.0607747 -0.0053768 -0.0148683 -0.0070749  0.0220567 -0.0012848  0.0355921  0.0733626 -0.0837402  0.0106755  0.0089802  0.0010843  0.0005010  0.0001964 -0.0008640 -0.0000292 -0.0000380 -0.0002503 -0.0003162 -0.0011687 -0.0013164  0.0004874  0.0005815  0.0052818  0.0020874  0.0010557 -0.0009391
3  2  0.1796464  0.2030475  0.7320426 -0.0871691  0.0358396 -0.0393704  0.0044905 -0.0221219 -0.0331584 -0.0217755 -0.0250244  0.0815663 -0.0065155  0.0047142 -0.0354115  0.0084090 -0.0064028  0.0170545 -0.0006941  0.0034444  0.0077358  0.0185549 -0.0358074 -0.0073831  0.0071883  0.0113705  0.0038235 -0.0080798 -0.0005944  0.0000730  0.0003187  0.0006909  0.0021440 -0.0049136 -0.0002827 -0.0007046  0.0034098 -0.0023272 -0.0000293  0.0001520 -0.0001567  0.0004181 -0.0003015 -0.0003762 -0.0000996  0.0000694  0.0001109 -0.0000196  0.0010398 -0.0143744  0.0197435 -0.0161658 -0.0222654  0.0085318 -0.0006240  0.0025933  0.0006232  0.0175694 -0.0259888  0.0037990 -0.0000568  0.0007059  0.0000574  0.0005582 -0.0000886  0.0005953 -0.0004043 -0.0001268 -0.0003295 -0.0012007 -0.0000855 -0.0003526 -0.0023619  0.0023390  0.0068645  0.0048420
3  3 -0.0292027  0.0608489 -0.0326547  0.0927942 -0.0377242  0.0044193 -0.0149132 -0.0110091 -0.0168550 -0.0373947  0.0241868 -0.0490912  0.0085548 -0.0136548  0.0078337 -0.0189099  0.0071577 -0.0156287 -0.0008909  0.0070711 -0.0038945 -0.0034764  0.0033087 -0.0139876 -0.0065682 -0.0001367 -0.0033289  0.0140714  0.0021533  0.0002613  0.0005505  0.0006218  0.0058655  0.0039118  0.0006096 -0.0006631 -0.0014846  0.0012145 -0.0008535  0.0003343 -0.0008163 -0.0006529  0.0000101 -0.0003574 -0.0044772 -0.0036500 -0.0009904  0.0005191  0.0154628  0.0116589  0.0031689  0.0055364  0.0046750  0.0037809  0.0045108 -0.0013114 -0.0012113 -0.0024714 -0.0009588 -0.0064365  0.0016671  0.0003134  0.0006448 -0.0004410  0.0013414 -0.0002511  0.0000384 -0.0000888 -0.0019049  0.0000060 -0.0008629  0.0006217 -0.0004955 -0.0020871  0.0001509  0.0010956
4  0 -0.3427381        NaN  0.1697010        NaN -0.0170270        NaN  0.0055690        NaN  0.2278865        NaN -0.0302678        NaN  0.2438082        NaN  0.0175269        NaN  0.0108450        NaN  0.0367280        NaN -0.0541533        NaN  0.0427118        NaN  0.0018386        NaN -0.0056019        NaN  0.0063811        NaN  0.0005495        NaN  0.0024932        NaN  0.0023232        NaN  0.0024731        NaN  0.0051746        NaN -0.0081762        NaN  0.0000441        NaN -0.0003934        NaN  0.0003835        NaN  0.0449086        NaN -0.0261579        NaN  0.0045874        NaN  0.0244439        NaN -0.0186802        NaN  0.0290160        NaN -0.0007591        NaN  0.0006803        NaN -0.0059162        NaN  0.0001107        NaN -0.0002221        NaN  0.0001586        NaN  0.0008502        NaN -0.0002431        NaN
