# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Dec 2025
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2025-09).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
1  0 -0.0468799        NaN -0.0135379        NaN -0.0067188        NaN -0.0204181        NaN -0.0692039        NaN  0.0402786        NaN  0.0544082        NaN  0.0676157        NaN -0.0397788        NaN -0.0011184        NaN  0.0387589        NaN -0.0029839        NaN  0.1666109        NaN -0.0027058        NaN -0.0007163        NaN  0.0023059        NaN  0.0038533        NaN -0.0011126        NaN  0.0027764        NaN  0.0002957        NaN  0.0057964        NaN -0.0005802        NaN  0.0050834        NaN  0.0004842        NaN  0.0642941        NaN -0.0295295        NaN  0.0344602        NaN  0.0129905        NaN -0.0097986        NaN  0.0180150        NaN  0.0118081        NaN  0.0002461        NaN -0.0003218        NaN  0.0001777        NaN -0.0044126        NaN -0.0001909        NaN  0.0215472        NaN  0.0193795        NaN
1  1  0.9680694 -0.0483498 -0.2768638  0.2517481  0.0360104 -0.0027738 -0.0375340  0.0408573 -1.5181493  1.1577593  0.0358056  0.0584356 -1.0910324  0.5537759  0.0270295 -0.0042346 -0.0419598  0.0208669  0.0422775 -0.0179830  0.2433818 -0.3928145  0.0223281 -0.0232492  0.0046799  0.0002270 -0.0109127  0.0002629 -0.0055698  0.0187052 -0.0013305 -0.0014512 -0.0054470  0.0073079 -0.0024963 -0.0021926 -0.0071323  0.0013156 -0.0018326  0.0013085  0.0067661 -0.0071873  0.0001756 -0.0000428 -0.0031868 -0.0032117  0.0001739  0.0017780 -0.0817093  0.0438839 -0.0442324  0.0076832  0.0001153  0.0196999  0.0213533 -0.0199372  0.0421900 -0.0557275  0.0392982 -0.0074473  0.0010867  0.0000480 -0.0009890 -0.0011604  0.0041831 -0.0006255  0.0002789  0.0000326 -0.0020188 -0.0006031  0.0001218  0.0017869 -0.0064938  0.0021051 -0.0004571  0.0013144
2  0 -0.3731992        NaN -0.5090702        NaN  0.0258783        NaN -0.0051077        NaN  0.2008325        NaN  0.0392263        NaN  0.1377946        NaN -0.0045174        NaN -0.0080181        NaN  0.0061284        NaN -0.0789563        NaN  0.0069447        NaN -0.0021123        NaN  0.0447649        NaN  0.0077651        NaN  0.0004495        NaN  0.0023384        NaN  0.0034441        NaN  0.0001278        NaN  0.0036641        NaN -0.0069665        NaN -0.0002591        NaN  0.0006531        NaN -0.0005975        NaN  0.0423055        NaN -0.0070885        NaN  0.0023059        NaN  0.0127049        NaN -0.0432789        NaN  0.0037630        NaN -0.0012360        NaN  0.0014178        NaN -0.0022988        NaN  0.0002604        NaN  0.0019275        NaN -0.0001233        NaN -0.0031020        NaN -0.0001869        NaN
2  1 -0.4504834 -0.3733620 -0.5580808  0.0355412 -0.1682876 -0.2792984  0.0111493 -0.0210739 -0.0397304  0.0060822 -0.1924145  0.2585222  0.0116516 -0.0097481  0.0184419  0.0756381 -0.3232291  0.0950343  0.0059092  0.0023394  0.0383044 -0.0003859  0.0484694 -0.0682206  0.0130695 -0.0336464 -0.0062820  0.0059434  0.0025104  0.0052886  0.0000703  0.0029917 -0.0001592 -0.0022233  0.0009347  0.0017052 -0.0011957  0.0159031 -0.0007768  0.0012844 -0.0010722 -0.0018185 -0.0003723 -0.0017552 -0.0030300 -0.0043122 -0.0015013 -0.0000995 -0.0398810 -0.0138227 -0.0029518  0.0551319 -0.1532918  0.0739126  0.0021933 -0.0132294  0.0300888  0.0040116  0.0291153 -0.0523632  0.0001261  0.0089525  0.0007966 -0.0000686  0.0001307 -0.0005083  0.0007718 -0.0000402  0.0006193 -0.0023377 -0.0009809  0.0003183  0.0006797 -0.0002903 -0.0113803 -0.0069299
2  2 -0.2316364  0.2710598  0.1644564 -0.1845558  0.0502082  0.0160718  0.0337334  0.0054088 -0.0183545 -0.2274771 -0.0191316  0.0032543  0.0512375  0.0465734  0.0084167 -0.0073190 -0.0084567 -0.0153260  0.0015233 -0.0008768  0.0237941  0.1555794  0.0021466 -0.0049566  0.0029504  0.0034657  0.0079096 -0.0079354 -0.0035453 -0.0007432 -0.0007222  0.0007864 -0.0042814 -0.0029219  0.0028863  0.0019681  0.0015162 -0.0050481  0.0009913 -0.0011459  0.0028922  0.0013370  0.0000141 -0.0000628  0.0027894 -0.0011777 -0.0004029 -0.0006449 -0.0116939 -0.0459630  0.0067950  0.0092448 -0.0004487 -0.0005778 -0.0074172  0.0092414  0.0233426  0.0637237 -0.0049429 -0.0135363 -0.0016585  0.0028908  0.0004052 -0.0001689 -0.0007187  0.0006663 -0.0002200  0.0002156  0.0007898 -0.0029423 -0.0001205 -0.0008851  0.0063085 -0.0029462  0.0006949 -0.0017734
3  0 -0.0619497        NaN -0.8214311        NaN  0.0451406        NaN -0.0030715        NaN -0.0231406        NaN -0.0951987        NaN -0.0181742        NaN  0.0432189        NaN -0.1304797        NaN  0.0047265        NaN -0.0065051        NaN  0.0900522        NaN -0.0188742        NaN -0.0017577        NaN  0.0041556        NaN -0.0017070        NaN -0.0044499        NaN  0.0019409        NaN  0.0008335        NaN -0.0009585        NaN -0.0039059        NaN  0.0027537        NaN -0.0030682        NaN -0.0009474        NaN -0.0024124        NaN  0.0009231        NaN -0.0766461        NaN  0.0035124        NaN -0.0139122        NaN  0.0209429        NaN -0.0014693        NaN  0.0011563        NaN  0.0003903        NaN  0.0023631        NaN  0.0002510        NaN -0.0015394        NaN -0.0122783        NaN -0.0033533        NaN
3  1  0.5965952 -0.0522430  0.0957911  0.0164836  0.0023347 -0.0293678 -0.0656845  0.0465177 -1.0462868  0.9914024  0.0182518  0.0036256 -0.7053235  0.6287508  0.0272938  0.0103263 -0.0135921  0.0207905  0.0367158  0.0211286  0.2283967 -0.3440612  0.0039648  0.0085291  0.0026586  0.0023313 -0.0211887 -0.0173294 -0.0059732  0.0123868  0.0011515 -0.0000696 -0.0048932  0.0004547 -0.0043328 -0.0029366 -0.0001649 -0.0011670  0.0010946 -0.0020420  0.0041659 -0.0050044 -0.0000241  0.0001617  0.0000269 -0.0003556  0.0011195  0.0016537 -0.0831227  0.0541453 -0.0054859 -0.0200133 -0.0058499  0.0202365  0.0007063  0.0370639  0.0800994 -0.0752144  0.0082727  0.0144689  0.0003233  0.0004516  0.0000336 -0.0006865 -0.0008031  0.0000673 -0.0002448 -0.0003240 -0.0012811 -0.0007297  0.0005324  0.0004654  0.0042253  0.0003202  0.0009654 -0.0004945
3  2  0.3337837  0.0123698  0.7627859 -0.0290344  0.0467879 -0.0264077 -0.0023315  0.0012335 -0.0036367 -0.0108501 -0.0103914  0.0687446  0.0073675  0.0118618 -0.0233925 -0.0024069 -0.0120559  0.0131080  0.0000977  0.0009325 -0.0032772  0.0149219 -0.0173685 -0.0189918  0.0064361  0.0096928  0.0050486 -0.0088135 -0.0011968  0.0010654  0.0002392 -0.0000116  0.0026291 -0.0043691  0.0000216  0.0001410  0.0027988 -0.0022156  0.0002214  0.0004444  0.0000626  0.0001195 -0.0001014 -0.0003368 -0.0012869 -0.0000180  0.0004153  0.0001979  0.0039955 -0.0074953 -0.0011815 -0.0045675 -0.0227607  0.0076709  0.0010963  0.0021914  0.0005879  0.0077889 -0.0084764 -0.0077228  0.0007163  0.0012229 -0.0003970  0.0004121 -0.0000828  0.0003038 -0.0003278 -0.0000476 -0.0011615 -0.0015321  0.0001933 -0.0002260 -0.0019322  0.0011063  0.0066563  0.0040469
3  3 -0.0008866  0.0085893 -0.0084702  0.0833949 -0.0272304  0.0170921 -0.0053267 -0.0047717  0.0057337 -0.0103764  0.0311012 -0.0569425  0.0004772 -0.0236075  0.0032702 -0.0189804  0.0010169 -0.0183056 -0.0013544  0.0070291 -0.0168473 -0.0123754 -0.0027558 -0.0145927 -0.0071199 -0.0015400 -0.0026274  0.0139882  0.0026028 -0.0000074  0.0007082  0.0001925  0.0057829  0.0047348 -0.0003036 -0.0015440 -0.0016254  0.0011358 -0.0005136  0.0000108 -0.0006641 -0.0004580  0.0000508 -0.0002545 -0.0045410 -0.0038077 -0.0004175  0.0002763  0.0192890  0.0086595  0.0061849  0.0071971  0.0031582  0.0018186  0.0019061 -0.0024005 -0.0099719 -0.0090252 -0.0058859 -0.0070435  0.0023287  0.0001772  0.0002572 -0.0000582  0.0018162 -0.0003025 -0.0000909  0.0000095 -0.0015191  0.0000876 -0.0003842  0.0003509 -0.0013514 -0.0009302 -0.0003549  0.0011454
4  0 -0.3192648        NaN  0.0558479        NaN -0.0136159        NaN  0.0048646        NaN  0.2308470        NaN -0.0239697        NaN  0.2419623        NaN  0.0153188        NaN  0.0131388        NaN  0.0382236        NaN -0.0661669        NaN  0.0342241        NaN  0.0027640        NaN -0.0057641        NaN  0.0071855        NaN  0.0005240        NaN  0.0017184        NaN  0.0018758        NaN  0.0017726        NaN  0.0058300        NaN -0.0081757        NaN -0.0000405        NaN -0.0008798        NaN  0.0007320        NaN  0.0526682        NaN -0.0171464        NaN -0.0006163        NaN  0.0269448        NaN -0.0280890        NaN  0.0210244        NaN -0.0005913        NaN  0.0004156        NaN -0.0064860        NaN  0.0001443        NaN -0.0012752        NaN  0.0006579        NaN  0.0004923        NaN  0.0008839        NaN
