# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Mar 2026
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2023-12).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
1  0  0.0152785        NaN  0.8249543        NaN -0.0077236        NaN -0.0153736        NaN -0.0705901        NaN  0.0452830        NaN  0.0553542        NaN  0.0619061        NaN -0.0384325        NaN -0.0008641        NaN  0.0359662        NaN -0.0042852        NaN  0.1643279        NaN -0.0033611        NaN -0.0017974        NaN  0.0023277        NaN  0.0042311        NaN -0.0015346        NaN  0.0035837        NaN  0.0003586        NaN  0.0061182        NaN -0.0004923        NaN  0.0047344        NaN  0.0006514        NaN  0.0681156        NaN -0.0335063        NaN  0.0344328        NaN  0.0109146        NaN -0.0130826        NaN  0.0179451        NaN  0.0121409        NaN  0.0000775        NaN -0.0007873        NaN  0.0002524        NaN -0.0045434        NaN -0.0000190        NaN  0.0141775        NaN  0.0108250        NaN
1  1  0.9325871 -0.0259506 -0.2976456  0.2482695  0.0270900 -0.0000081 -0.0344900  0.0363300 -1.5247040  1.1578997  0.0295971  0.0577352 -1.0766873  0.5511357  0.0242040 -0.0033312 -0.0416977  0.0211080  0.0440108 -0.0213506  0.2482968 -0.3894104  0.0218454 -0.0249125  0.0052716  0.0009421 -0.0072032  0.0022320 -0.0053209  0.0183901 -0.0013419 -0.0014039 -0.0053399  0.0079373 -0.0023764 -0.0019581 -0.0073041  0.0014664 -0.0017519  0.0013897  0.0067538 -0.0073013  0.0001488 -0.0000595 -0.0033629 -0.0032446  0.0001550  0.0017962 -0.0780872  0.0411283 -0.0443512  0.0103417  0.0008973  0.0190145  0.0183609 -0.0153774  0.0419025 -0.0542245  0.0386750 -0.0089615  0.0010800  0.0001941 -0.0009054 -0.0012900  0.0041642 -0.0006103  0.0002800  0.0000332 -0.0020697 -0.0006536  0.0000699  0.0019393 -0.0062903  0.0022488 -0.0005710  0.0010888
2  0 -0.3685937        NaN -0.2005391        NaN  0.0210263        NaN -0.0056809        NaN  0.2000137        NaN  0.0337842        NaN  0.1366177        NaN -0.0077427        NaN -0.0078164        NaN  0.0067748        NaN -0.0756472        NaN  0.0073138        NaN -0.0019744        NaN  0.0445826        NaN  0.0079054        NaN  0.0002820        NaN  0.0024101        NaN  0.0035250        NaN  0.0000416        NaN  0.0036035        NaN -0.0070188        NaN -0.0001903        NaN  0.0006215        NaN -0.0005225        NaN  0.0411844        NaN -0.0140347        NaN  0.0033059        NaN  0.0134347        NaN -0.0417027        NaN  0.0076246        NaN -0.0012101        NaN  0.0011743        NaN -0.0023726        NaN  0.0003011        NaN  0.0018384        NaN -0.0000023        NaN -0.0029169        NaN -0.0016843        NaN
2  1 -0.2740988 -0.3975205 -0.5257417  0.1047035 -0.1644081 -0.2837980  0.0117700 -0.0185855 -0.0289641 -0.0052468 -0.1917782  0.2556543  0.0067692  0.0026433  0.0171298  0.0700768 -0.3275909  0.0948186  0.0066603  0.0030299  0.0401336  0.0034162  0.0495497 -0.0660240  0.0183054 -0.0470514 -0.0048162  0.0055844  0.0021551  0.0046835 -0.0000065  0.0028912 -0.0002968 -0.0018927  0.0010014  0.0017212 -0.0013612  0.0161535 -0.0009032  0.0013076 -0.0011035 -0.0017992 -0.0003312 -0.0017447 -0.0029164 -0.0044281 -0.0015200 -0.0001156 -0.0407967 -0.0174217 -0.0038744  0.0515982 -0.1516101  0.0734472  0.0014278 -0.0144134  0.0301606  0.0100645  0.0296607 -0.0501892  0.0000251  0.0091135  0.0007731  0.0000923  0.0001959 -0.0004337  0.0007501 -0.0000317  0.0005891 -0.0024395 -0.0010080  0.0001976  0.0021791 -0.0005582 -0.0113104 -0.0070392
2  2 -0.2479545  0.2812470  0.1759172 -0.1907705  0.0520586  0.0194897  0.0333671  0.0031248 -0.0230567 -0.2216404 -0.0193946  0.0045452  0.0516968  0.0437260  0.0073410 -0.0072708 -0.0097320 -0.0151843  0.0017281 -0.0008155  0.0244565  0.1512532  0.0020574 -0.0041886  0.0026368  0.0029004  0.0075405 -0.0082225 -0.0035842 -0.0005846 -0.0007137  0.0008964 -0.0043461 -0.0030618  0.0029371  0.0019897  0.0015167 -0.0047217  0.0010042 -0.0011772  0.0028528  0.0013001  0.0000223 -0.0000700  0.0027378 -0.0008384 -0.0004065 -0.0007187 -0.0112129 -0.0442847  0.0063581  0.0078642  0.0001627 -0.0023430 -0.0073726  0.0090031  0.0238497  0.0610762 -0.0051462 -0.0128700 -0.0017191  0.0026055  0.0003891 -0.0000846 -0.0007604  0.0004985 -0.0002260  0.0002101  0.0007465 -0.0027664 -0.0001101 -0.0009472  0.0067971 -0.0031524  0.0005789 -0.0017267
3  0 -0.0308163        NaN  0.1177508        NaN  0.0436906        NaN  0.0001017        NaN -0.0224382        NaN -0.0981342        NaN -0.0169577        NaN  0.0425578        NaN -0.1302128        NaN  0.0049770        NaN -0.0068812        NaN  0.0926162        NaN -0.0180519        NaN -0.0019762        NaN  0.0043961        NaN -0.0018458        NaN -0.0045056        NaN  0.0018666        NaN  0.0005259        NaN -0.0008414        NaN -0.0040086        NaN  0.0028063        NaN -0.0028934        NaN -0.0008409        NaN -0.0023383        NaN -0.0041015        NaN -0.0771792        NaN  0.0019067        NaN -0.0136847        NaN  0.0241528        NaN -0.0015950        NaN  0.0010364        NaN  0.0006901        NaN  0.0024225        NaN  0.0002875        NaN -0.0014322        NaN -0.0094055        NaN -0.0074019        NaN
3  1  0.5570428 -0.0547516  0.0914682 -0.0227718  0.0076525 -0.0267538 -0.0634714  0.0486420 -1.0537816  0.9931784  0.0185869  0.0053556 -0.6981947  0.6256927  0.0279716  0.0144395 -0.0143550  0.0208351  0.0358007  0.0220790  0.2278024 -0.3447301  0.0025880  0.0095094  0.0015724  0.0018939 -0.0240167 -0.0178531 -0.0063102  0.0123651  0.0011292 -0.0001032 -0.0048597  0.0005395 -0.0043599 -0.0029707 -0.0000051 -0.0016624  0.0011733 -0.0020357  0.0041884 -0.0048626 -0.0000350  0.0001789  0.0001351 -0.0003662  0.0011052  0.0016355 -0.0787472  0.0531009 -0.0040653 -0.0206995 -0.0066548  0.0201111  0.0011435  0.0349557  0.0781928 -0.0746652  0.0067827  0.0153375  0.0002822  0.0002435  0.0000499 -0.0007123 -0.0008164  0.0000610 -0.0002216 -0.0003218 -0.0012166 -0.0007887  0.0005282  0.0004680  0.0044975  0.0002865  0.0008948 -0.0004283
3  2  0.2539966  0.0700281  0.7543005 -0.0348699  0.0489146 -0.0304893 -0.0003006 -0.0036889 -0.0068727 -0.0127962 -0.0107898  0.0676507  0.0056201  0.0104338 -0.0243384 -0.0040032 -0.0116266  0.0133780  0.0000140  0.0014899 -0.0027784  0.0164677 -0.0179476 -0.0201070  0.0070328  0.0103573  0.0049270 -0.0085642 -0.0010746  0.0011286  0.0001635  0.0000775  0.0027924 -0.0044034  0.0000842  0.0001529  0.0025796 -0.0022624  0.0000971  0.0003438  0.0000879  0.0001085 -0.0000914 -0.0003322 -0.0014436 -0.0000882  0.0003030  0.0001070  0.0027818 -0.0075830 -0.0003850 -0.0037353 -0.0234438  0.0083802  0.0006686  0.0028960  0.0013785  0.0076148 -0.0090656 -0.0082790  0.0007850  0.0012623 -0.0003140  0.0004586 -0.0000961  0.0002985 -0.0003168 -0.0000663 -0.0013203 -0.0015428  0.0001060 -0.0003049 -0.0022666  0.0012296  0.0067367  0.0041057
3  3 -0.0042574  0.0074854 -0.0093993  0.0881303 -0.0253640  0.0180268 -0.0059066 -0.0082240  0.0067218 -0.0114996  0.0306828 -0.0569164  0.0008739 -0.0233966  0.0045725 -0.0196789  0.0009849 -0.0187880 -0.0014459  0.0077038 -0.0164679 -0.0124614 -0.0018015 -0.0148148 -0.0072494 -0.0014927 -0.0026659  0.0143186  0.0025534  0.0001377  0.0006914  0.0001536  0.0055930  0.0048823 -0.0004589 -0.0014989 -0.0014657  0.0009450 -0.0003617  0.0000039 -0.0006426 -0.0005412  0.0000205 -0.0002282 -0.0044366 -0.0038896 -0.0002236  0.0002661  0.0187912  0.0098699  0.0063201  0.0078312  0.0032800  0.0016362  0.0020703 -0.0026594 -0.0095360 -0.0101586 -0.0052999 -0.0074184  0.0024609  0.0001624  0.0001038 -0.0000944  0.0017741 -0.0001545 -0.0001012 -0.0000044 -0.0014313 -0.0001382 -0.0002151  0.0003866 -0.0011922 -0.0008659 -0.0003722  0.0011325
4  0 -0.3290089        NaN  0.0560924        NaN -0.0137458        NaN  0.0053926        NaN  0.2317781        NaN -0.0222751        NaN  0.2404764        NaN  0.0134467        NaN  0.0127972        NaN  0.0380304        NaN -0.0646231        NaN  0.0327588        NaN  0.0024550        NaN -0.0059367        NaN  0.0072941        NaN  0.0006561        NaN  0.0016353        NaN  0.0018882        NaN  0.0017068        NaN  0.0059374        NaN -0.0081241        NaN -0.0000599        NaN -0.0009336        NaN  0.0008468        NaN  0.0520151        NaN -0.0167703        NaN -0.0001260        NaN  0.0265210        NaN -0.0275413        NaN  0.0196654        NaN -0.0005905        NaN  0.0003978        NaN -0.0063926        NaN  0.0001320        NaN -0.0012181        NaN  0.0007033        NaN  0.0005386        NaN  0.0006112        NaN
4  1  0.1918847  0.0705869  0.2832883  0.1323038 -0.0398128 -0.4616733  0.0061879  0.0331358  0.0538040 -0.0508208 -0.0233041 -0.1352963  0.0354337 -0.0487777 -0.0893606 -0.0736861  0.2610261  0.3956734  0.0054647 -0.0034670 -0.0210784  0.0051572 -0.0252930  0.0268921 -0.0757930  0.0576353  0.0019651 -0.0038859 -0.0006274 -0.0008906 -0.0003291  0.0001983  0.0042319  0.0076163 -0.0000296  0.0003247 -0.0009631  0.0120133  0.0006956  0.0003945  0.0002479  0.0024878  0.0008043 -0.0008101 -0.0027502  0.0035672 -0.0000440  0.0002684 -0.0211435  0.0026318 -0.0208829 -0.0140792  0.0418432  0.1690657  0.0047269 -0.0069012  0.0060679 -0.0023438 -0.0086139  0.0166416  0.0011090 -0.0123312  0.0000039 -0.0001413 -0.0011217  0.0008837  0.0001474  0.0004988 -0.0044013  0.0077415  0.0002137  0.0001835 -0.0031354  0.0003929  0.0085776  0.0044313
4  2  0.0357007  0.2014120  0.0436837 -0.0547213  0.0072014  0.0123333  0.0145396  0.0212933 -0.0727866 -0.2072343  0.0359593  0.0018857  0.0451512  0.0072997  0.0122537 -0.0065495 -0.0085040 -0.0223262 -0.0044924  0.0027718  0.0575108  0.1128399  0.0019221 -0.0084186  0.0019070 -0.0005396  0.0138487  0.0124049 -0.0019586 -0.0022414 -0.0000896  0.0005783  0.0009489 -0.0000472 -0.0019140 -0.0021414  0.0002718  0.0018220 -0.0008667 -0.0009034 -0.0002627  0.0001439 -0.0000311 -0.0002133  0.0003385 -0.0009048 -0.0009604  0.0002131 -0.0335784  0.0043462  0.0013898  0.0080278  0.0025157  0.0025808 -0.0011086 -0.0052582  0.0351093  0.0185904 -0.0017210 -0.0064332 -0.0006716 -0.0015913  0.0010381 -0.0003310  0.0008988 -0.0007599  0.0001780  0.0000676  0.0023527  0.0010768 -0.0008272  0.0005049 -0.0011363  0.0028609  0.0001692  0.0002779
4  3 -0.1366267  0.0117160 -0.4445028 -0.0703039  0.0179340  0.0084717 -0.0128461  0.0235000  0.0381081 -0.0043529 -0.0033384 -0.0249952  0.0045376  0.0183127  0.0118379  0.0020160 -0.0171166  0.0004692  0.0028330 -0.0059633 -0.0092912  0.0135371  0.0174154  0.0087585 -0.0019734 -0.0013440  0.0019578  0.0019365  0.0008055 -0.0008735 -0.0010379 -0.0006481 -0.0015772 -0.0018606  0.0014628 -0.0005929 -0.0002933 -0.0017494  0.0003076 -0.0001386 -0.0006165  0.0006617  0.0001246  0.0003410 -0.0000708 -0.0019084  0.0000716  0.0002813  0.0046321 -0.0088775  0.0016080 -0.0070332  0.0006409 -0.0007660  0.0019751  0.0000551 -0.0055422  0.0148390  0.0034770  0.0074495  0.0006654  0.0019640 -0.0002434 -0.0007123 -0.0000627 -0.0004288  0.0003479  0.0000589 -0.0001021 -0.0017585 -0.0000379  0.0005377  0.0012999 -0.0010761 -0.0025174 -0.0002272
5  0  0.0998113        NaN  0.5811199        NaN  0.0714827        NaN  0.0247467        NaN -0.0309522        NaN -0.3935671        NaN -0.0291203        NaN -0.1023589        NaN -0.1777065        NaN  0.0037297        NaN -0.0065895        NaN  0.1357613        NaN -0.0110129        NaN  0.0034044        NaN -0.0030963        NaN -0.0051984        NaN -0.0016961        NaN -0.0011956        NaN -0.0020179        NaN  0.0000625        NaN  0.0032254        NaN  0.0060228        NaN  0.0014771        NaN  0.0013726        NaN -0.0053156        NaN -0.0751058        NaN -0.1128671        NaN  0.0033529        NaN  0.0037122        NaN  0.0626803        NaN  0.0040966        NaN -0.0003813        NaN -0.0010320        NaN  0.0034192        NaN -0.0027452        NaN  0.0002965        NaN  0.0061561        NaN  0.0066913        NaN
5  1  0.1975331 -0.5662195  0.0484564 -0.0523353 -0.0082230 -0.0269201  0.0075734 -0.0043093 -0.4134246  0.9991994 -0.0073372 -0.0107357 -0.4152862  0.8052301  0.0118791 -0.0048219 -0.0067142  0.0198716  0.0205951 -0.0150850  0.0294769 -0.2920208  0.0198252  0.0147217  0.0019298 -0.0012157  0.0131720  0.0137514 -0.0008561  0.0097923 -0.0003233  0.0009203 -0.0030964  0.0025935 -0.0035390 -0.0072711 -0.0008483 -0.0009021 -0.0009125 -0.0057191  0.0016416 -0.0054762  0.0002611 -0.0000289  0.0021762 -0.0033418  0.0007377  0.0020572  0.0146946  0.0456373 -0.0200319 -0.0135748  0.0033354  0.0196440  0.0111256  0.0153422 -0.0091827 -0.0719999  0.0175662  0.0133889 -0.0009651  0.0002592 -0.0014778 -0.0010275  0.0029496 -0.0002226  0.0002578 -0.0001454  0.0022244 -0.0004665  0.0003598  0.0012755 -0.0040080  0.0065954  0.0001249 -0.0007631
5  2  0.0802108  0.0660202 -0.1174145 -0.0412807  0.0314069 -0.0414368 -0.0137050  0.0151150  0.0053566  0.0246148 -0.1113044  0.0445547  0.0526379  0.0314005  0.0240028 -0.0278191 -0.0049103  0.0392467 -0.0068472 -0.0061680  0.0160266  0.0182052  0.0609497 -0.0263798  0.0384389  0.0091963  0.0032336 -0.0020670 -0.0005661  0.0010215  0.0003608  0.0013329  0.0050041  0.0048018 -0.0012142 -0.0001157  0.0069830  0.0014265 -0.0005957 -0.0003980 -0.0000735 -0.0009987  0.0000652 -0.0001959 -0.0002955 -0.0021434 -0.0001421 -0.0004865  0.0183645 -0.0084939 -0.0161101 -0.0040723 -0.0163085 -0.0029589  0.0080493 -0.0028042 -0.0025778  0.0111067  0.0313600 -0.0090963  0.0027645  0.0034910  0.0003773  0.0002030  0.0000287 -0.0003707  0.0000606 -0.0001821 -0.0003619 -0.0020183 -0.0003342 -0.0002516  0.0062113 -0.0044730 -0.0018073 -0.0011846
5  3 -0.0173432 -0.0179380 -0.0664014  0.0699572 -0.0040734  0.0078953 -0.0051244 -0.0328086  0.0117175 -0.0053868 -0.0216161 -0.0093900 -0.0434462  0.0256774 -0.0021051 -0.0033120  0.0085489 -0.0034240 -0.0004766  0.0089174 -0.0438346  0.0060111 -0.0047319  0.0017208  0.0034549  0.0014632 -0.0013607 -0.0023671  0.0003071  0.0000317 -0.0004966  0.0006422 -0.0014863 -0.0018578  0.0007718  0.0003904  0.0011594 -0.0023453 -0.0000325 -0.0001045 -0.0003352  0.0006397  0.0002075 -0.0000247  0.0022558  0.0014015 -0.0005285  0.0000745  0.0232908  0.0000538  0.0058706 -0.0019633 -0.0017638  0.0000158  0.0017904  0.0044252 -0.0243474  0.0020691 -0.0036531  0.0016949 -0.0004104  0.0000872  0.0004706 -0.0001751 -0.0021464 -0.0001204 -0.0002192 -0.0000642 -0.0002593 -0.0009646 -0.0003281  0.0000406  0.0002330  0.0001856  0.0000447 -0.0003746
6  0 -0.3440630        NaN  0.0834044        NaN -0.0188849        NaN -0.0709750        NaN  0.1515744        NaN  0.0266964        NaN  0.2233409        NaN  0.0375174        NaN  0.0087625        NaN  0.0928111        NaN -0.0315159        NaN  0.0231267        NaN  0.0008191        NaN  0.0111403        NaN  0.0092272        NaN  0.0014890        NaN  0.0007273        NaN  0.0032803        NaN  0.0002199        NaN  0.0054977        NaN -0.0129451        NaN -0.0002593        NaN  0.0009563        NaN -0.0005849        NaN  0.0264478        NaN -0.0049221        NaN  0.0010734        NaN  0.0555392        NaN -0.0056343        NaN  0.0097191        NaN -0.0008003        NaN  0.0009012        NaN -0.0054366        NaN  0.0001663        NaN  0.0026400        NaN -0.0002633        NaN -0.0037483        NaN -0.0005106        NaN
6  1  0.0250411 -0.0764076 -0.1015126  0.4904269 -0.2163036  0.0413259 -0.0226451  0.0296406 -0.0112707 -0.0054937 -0.2626219 -0.4758206  0.0090316  0.0279743 -0.1408080 -0.3759057 -0.1097897 -0.0231969  0.0049043 -0.0052144  0.0106064 -0.0064576  0.0607667  0.0778922  0.0781488 -0.0239216  0.0040287 -0.0029006  0.0003706  0.0015400 -0.0014458 -0.0023091  0.0053871  0.0042569 -0.0003952 -0.0000066  0.0074937  0.0187482  0.0000361 -0.0003368 -0.0018194 -0.0019839  0.0023293  0.0014488 -0.0033821 -0.0017686  0.0000459 -0.0001999  0.0100523  0.0185920 -0.0199830 -0.0555861 -0.0538404  0.0143519  0.0060571 -0.0094651 -0.0060554 -0.0163717  0.0158371  0.0300316  0.0041462  0.0036250 -0.0000154  0.0001054  0.0011313 -0.0010382  0.0009687  0.0012248  0.0005511 -0.0026255 -0.0000804 -0.0000957  0.0051119 -0.0020062 -0.0011527 -0.0032359
6  2 -0.0765800  0.2584734  0.0240035 -0.0185715  0.0122128  0.0269201  0.0407604  0.0039632 -0.0686101 -0.2106784  0.0124847  0.0370381  0.0728019  0.0238093  0.0168461  0.0025626  0.0000798 -0.0243142 -0.0145815  0.0082035  0.0620258  0.0879682  0.0074547 -0.0065856  0.0010657 -0.0018480  0.0034401 -0.0114953 -0.0035724  0.0011784  0.0003182  0.0002892 -0.0005509  0.0001855 -0.0014843  0.0023655  0.0008852 -0.0020686 -0.0003374 -0.0010190  0.0037399  0.0007077 -0.0003323  0.0000561  0.0015031  0.0021162 -0.0002327 -0.0008793 -0.0354278  0.0371452 -0.0040132 -0.0073718  0.0009322  0.0012033 -0.0080748 -0.0069248  0.0374329 -0.0107628  0.0057769  0.0027303 -0.0010976 -0.0007126  0.0002918 -0.0004505 -0.0010342  0.0011015  0.0000515 -0.0001535 -0.0008319  0.0005504 -0.0002831 -0.0001763  0.0072219 -0.0050534 -0.0004633  0.0000719
