n,m,tor_c_const,tor_s_const,pol_c_const,pol_s_const,tor_c_sinca,tor_s_sinca,pol_c_sinca,pol_s_sinca,tor_c_cosca,tor_s_cosca,pol_c_cosca,pol_s_cosca,tor_c_epsilon,tor_s_epsilon,pol_c_epsilon,pol_s_epsilon,tor_c_epsilon_sinca,tor_s_epsilon_sinca,pol_c_epsilon_sinca,pol_s_epsilon_sinca,tor_c_epsilon_cosca,tor_s_epsilon_cosca,pol_c_epsilon_cosca,pol_s_epsilon_cosca,tor_c_tilt,tor_s_tilt,pol_c_tilt,pol_s_tilt,tor_c_tilt_sinca,tor_s_tilt_sinca,pol_c_tilt_sinca,pol_s_tilt_sinca,tor_c_tilt_cosca,tor_s_tilt_cosca,pol_c_tilt_cosca,pol_s_tilt_cosca,tor_c_tilt_epsilon,tor_s_tilt_epsilon,pol_c_tilt_epsilon,pol_s_tilt_epsilon,tor_c_tilt_epsilon_sinca,tor_s_tilt_epsilon_sinca,pol_c_tilt_epsilon_sinca,pol_s_tilt_epsilon_sinca,tor_c_tilt_epsilon_cosca,tor_s_tilt_epsilon_cosca,pol_c_tilt_epsilon_cosca,pol_s_tilt_epsilon_cosca,tor_c_tau,tor_s_tau,pol_c_tau,pol_s_tau,tor_c_tau_sinca,tor_s_tau_sinca,pol_c_tau_sinca,pol_s_tau_sinca,tor_c_tau_cosca,tor_s_tau_cosca,pol_c_tau_cosca,pol_s_tau_cosca,tor_c_tilt_tau,tor_s_tilt_tau,pol_c_tilt_tau,pol_s_tilt_tau,tor_c_tilt_tau_sinca,tor_s_tilt_tau_sinca,pol_c_tilt_tau_sinca,pol_s_tilt_tau_sinca,tor_c_tilt_tau_cosca,tor_s_tilt_tau_cosca,pol_c_tilt_tau_cosca,pol_s_tilt_tau_cosca,tor_c_f107,tor_s_f107,pol_c_f107,pol_s_f107
1,0,-0.154331966569,,0.71934958713,,-0.076690228124,,-0.0336286691653,,-0.124178485187,,0.068957903641,,0.0818997844109,,0.110197332141,,-0.0502966921141,,0.0131082975884,,0.0387332375556,,-0.0148255690724,,0.139573544703,,-0.00194680998801,,-0.000104978150586,,0.00457521042141,,0.00555287031715,,-6.39174075301e-05,,-0.0019497033191,,0.00112760128806,,0.00211288751981,,-0.00138931632728,,0.00367055785016,,0.000554443618199,,0.10182668247,,-0.0194975609394,,0.0155634318813,,0.0163665008048,,-0.0165774179019,,0.0178895073302,,0.00862282335561,,-0.00056523489527,,-0.00493055755637,,2.23900052233e-05,,-0.00493260201853,,0.000309467499464,,0.0287468144428,,0.0121035246828,
1,1,0.842430642047,0.292873797613,-0.720743906043,0.620372320195,0.00983358652704,-0.0573617087311,0.00720069397771,-0.0211873593334,-1.1805117034,1.00451149741,0.0532815848069,0.129341136184,-0.945544961765,0.51869804848,0.0321230666013,0.0244553682269,-0.0593637858683,0.0302917561754,0.0353354372123,-0.0108406954293,0.260012517629,-0.396236755845,0.0169914672256,-0.0107393147944,-0.00241175977002,0.00403388296783,0.0101047257665,-0.00917319019408,0.00132032249491,0.0231885948843,-0.000163701979171,-0.00334220237634,-0.00664949830706,0.00782422378931,-0.00287738153624,-0.0051890493629,-0.010242204162,-0.00418880807074,-0.00306128778155,0.00155380123502,0.00515882010082,-0.00806034020269,-0.000268378978203,0.000439610763621,-0.0071275037377,-0.00909876215286,-0.000879900307191,0.00180718237899,-0.110758610819,0.0508088746789,-0.0342214441271,-0.0141661110279,0.0140256891717,0.025688488335,0.0146142193792,-0.0224382592584,0.0509103154872,-0.0482993121981,0.0376282559663,0.0166456465517,0.00380384554452,0.00322881280194,-0.000275401738875,-0.000466172305109,0.00398372909262,-0.00177700038957,0.000376011681546,0.000104311559368,-0.00530444258852,-0.00525916234751,-0.000617132019105,0.00171970570907,-0.00793205856474,0.00149077815552,-0.000246974379382,0.000894709668469
2,0,-0.577731811474,,-0.274698574205,,0.0486218693902,,0.0420684495589,,0.164167402665,,0.0286786673014,,0.107587208224,,-0.0173469582144,,-0.0136239886123,,0.00115139997569,,-0.0864585097943,,0.0208984344028,,0.00239201325465,,0.0446695987363,,0.00725652161062,,-0.00137667312649,,0.00320509781335,,0.00358687818626,,0.00153055583888,,0.00295471839049,,-0.00644872908727,,4.57215626883e-05,,0.00217201816977,,-0.000691344077298,,0.0446356266256,,-0.0436509001546,,0.0146418297326,,0.0109796437748,,-0.0477518346486,,0.0222311979763,,-0.00300358745928,,0.000932525117688,,-0.00200049151657,,0.000644626487668,,0.00273963797373,,-0.000204817281245,,-0.00153605609608,,-0.00254018406048,
2,1,-0.0988784990745,-0.949500904825,-0.27883930338,0.122361382107,-0.107372571753,-0.290077180824,-0.0146129727099,-0.0261751634641,-0.0192997378145,0.000675577805208,-0.150445621686,0.220399871394,-0.0149224066635,-0.0141279450885,0.0133432420754,0.0341039840079,-0.290425086905,0.106107683807,0.010163162945,0.00968324018819,0.0236881026226,-0.00799140151902,0.0388320162255,-0.0765890535318,0.0240957837911,-0.0495784552488,-0.0149048455629,0.00984277061744,0.00091098298058,0.00573707186176,0.0013696546661,0.00166144310455,0.00270075591082,-0.00837887882813,0.00152138473351,0.00116868012186,-0.00192852437632,0.0215187456264,-0.000833007665321,0.00216114190627,-0.00163170553748,-0.0017834427185,-0.000775424884275,-0.00153502570886,-0.00398795662032,-0.000758889943441,-0.00286584164601,0.000250224639939,-0.01680779495,-0.0159783908645,-0.00613059535299,0.0601136564299,-0.159172383569,0.0577622420688,0.00610289341829,-0.0257080985559,0.00283560019464,0.00378808942523,0.0274852551602,-0.0574995997182,0.000862299833968,0.00840596700984,0.00203109833607,-0.000298428811371,0.00143435281336,-0.000878813582717,0.000525174987515,7.60483120773e-05,-0.000234860724668,0.000326340316587,-0.00185389561097,0.000813859834819,0.00110907828603,-0.00457364398853,-0.0122577169814,-0.0069422050444
2,2,-0.387224111168,0.277026403235,0.0755817364705,-0.353256110649,0.098667974796,-0.00348298512322,0.0244624928072,0.0215449134542,-0.103430364266,-0.258036813552,-0.0375075272091,-0.0167543716879,0.0485845735045,-4.97414033422e-05,0.0127997840591,-0.0223465818873,-0.00987282385652,-0.0176728773086,0.00646536602784,-0.00416466484252,0.042724303914,0.153316862831,0.0100136056465,-0.00874383756051,0.00403254433504,-0.00653754403893,0.00755164006666,-0.00627788881725,-0.00836640723831,-0.00295165337642,-0.000889280476615,0.00183843297667,-0.00393231159561,-0.00317182124317,0.00147376435739,0.00516493386314,0.00526937095002,-0.00514819351817,0.00110013511277,-0.0009078031417,0.00288724678082,0.00213745722952,0.000291485843308,-6.92823452741e-05,0.00675031151943,-0.00154077734616,1.95304213494e-06,-0.000771962274362,-0.018728172042,-0.0368434994929,-0.0080168936581,0.0155599904825,-0.0105436762596,0.00725637242734,-0.00348495367921,0.0094171653485,0.0368855999706,0.0653648518324,0.00346933971026,-0.0226313693626,-0.00361076084723,0.00345815506769,0.000305715488259,-0.000567292299613,-0.000708969113913,0.000871555416093,-0.000409057480241,0.000165321815932,0.00366256341415,-0.00456871547287,-7.49227849494e-05,-0.000805035803698,0.00809609561796,-0.00437648737769,0.000538740485906,-0.0015900008815
3,0,0.00571142354847,,0.289319690824,,0.021396549863,,-0.0271421759167,,-0.0064511489277,,-0.108227579406,,0.0156736478379,,0.0364354989111,,-0.123430134252,,0.0083803240632,,0.0158880652753,,0.100751286761,,-0.0192269176016,,-0.00116383896904,,0.00388039735599,,-0.00039701290102,,-0.00603235606195,,0.000535347497442,,0.00277096875139,,-0.00165957983073,,-0.00172451628098,,0.00259410823114,,-0.00273355785596,,-0.00184740402053,,-0.0227459859759,,-0.0212397752297,,-0.0809659209132,,-0.000962087098,,0.00771671395126,,0.0362814448071,,0.00120390929671,,0.00192546168101,,0.00245816542223,,0.00227499866538,,-0.000661612449458,,-0.00222617735605,,-0.0170759561346,,-0.00805365584617,
3,1,0.730627802628,0.222577280714,0.0899715815872,-0.0985780863575,0.00280685264094,-0.047218375312,-0.0938644352461,0.0709005405381,-0.964212008049,0.927511327037,0.0105928393556,-0.021928384405,-0.654204916045,0.596193611042,0.042884753709,0.0313981949197,-0.0221282748529,0.0271339743684,0.0363325991272,0.0108260416278,0.25720095209,-0.408105173417,0.0222772040241,0.0257862240411,-0.00343763518945,-0.00388416044379,-0.0203208965104,-0.0209852447254,-0.00660087714293,0.0152678093013,0.00139577599485,0.000359708221131,-0.0057216132663,0.0014088270826,-0.00628283994006,-0.00265486962923,-0.00290414302466,-0.000681558321422,0.00109781236942,-0.00148323447615,0.00465846311124,-0.00524118194989,-3.5957476148e-05,-2.34757188298e-05,-0.00116818501524,-0.000933031233459,0.00131544990761,0.00221136290416,-0.117811974655,0.0945068382864,-0.0189974516968,-0.0333069577691,-0.00458303464287,0.0190878308392,0.00280804283006,0.0374449946818,0.104167096749,-0.104781007337,0.0232514716784,0.0339728936867,0.00126498221329,0.000842484315911,0.000459038625229,-0.00129069717747,-0.000123748167428,-0.000227283520263,-0.000239003394354,-0.000333115948353,-0.00261340608256,-0.000818165155299,0.000314398593617,0.00102398325987,0.00402866481706,-0.000608780268389,0.000542332817477,-0.00073733189325
3,2,0.192690285994,0.214475017597,0.82596853397,-0.0126442948102,0.0151881296072,-0.0403424932735,-0.00539741121067,0.000831148840072,-0.0160575373163,0.00122188058054,-0.0433434064742,0.100125923076,-0.00883021426197,0.00759396590717,-0.0387974087854,-0.0140888186638,-0.0125259729641,0.0158128146855,-0.0020031173121,0.00116890236134,-0.000762154078458,0.0232532703752,-0.0256356867383,-0.0275282640461,0.0111999141509,0.0122229424098,0.00213434395664,-0.0122637079297,-4.92157492575e-05,9.35127864998e-05,0.0011308204591,0.00182182347782,0.00215882889036,-0.00450674607488,-0.00137340304423,-0.000812923322305,0.0021574405401,-0.00499037331656,-0.000324114090937,0.000114331566998,-0.000208625451239,0.000168714568882,-1.22601998622e-05,-0.000607317534764,-0.00176324646728,-0.00248292125441,0.000203769457202,4.13927467608e-05,0.0041830986181,-0.00324500751782,0.028811756166,-0.00867108982469,-0.0220706855517,0.00586488658366,0.00229383671344,0.00107552538029,-0.0052300391126,0.00775781939787,-0.0321427098911,-0.00941074788465,0.00075188820019,0.00354612359164,-0.000705832143846,0.00108143653216,-0.00013855128605,9.95929737466e-05,-0.000288117466017,-0.000161960037639,-0.00146999045809,-0.00404979131892,0.000411144602315,-0.00088863610322,-0.00252990087203,0.00302335896808,0.0062066379617,0.0043779019864
3,3,0.144711434712,-0.00955060813668,0.180479405942,-0.0475638044532,-0.0361992121627,0.0180066773916,-0.0185892516262,-0.0278735934481,-0.0029434503584,-0.0269067418097,0.0593348366421,-0.0626584931609,0.0227806927826,0.0166119427852,-0.00202657032848,-0.0292984491321,0.00965503758228,-0.0169547294541,-0.00398492639685,0.00767414551997,0.00313619728887,0.00447149097844,-0.0120363491696,-0.0263660458188,-0.00720227866254,0.0050610732225,-0.00492868282274,0.0162457983232,0.00118498721869,-0.00169969056316,0.000856164659022,1.35115424638e-05,0.00575236569729,0.00296275474178,0.00274422356806,-0.000429573111587,-0.00314763643104,-0.00033899744561,-0.00111077586106,-0.000283058090662,-0.000402492007763,0.000157492377904,9.76363658331e-05,-0.000220456457178,-0.00657538240485,-0.00173944941817,-0.0012975516354,0.000181638091219,0.0064533556154,0.00157227784982,0.0182624724985,0.0180382167092,0.00270453281479,0.00329785967128,0.00634145428772,0.00369026707638,0.0150888069545,-0.00127164558567,-0.0185659807828,-0.0203401841162,0.00486112497034,0.00191724189509,0.000703426218952,-0.000298193104333,0.00119106706954,0.00103033821371,2.70843507444e-05,2.75564306535e-05,-0.00424854697288,0.000314180985991,-0.00104813324482,0.000296083723362,-0.00238162599414,0.000326316084711,-0.000201103305205,0.00167158783191
4,0,-0.24779905685,,0.166135780121,,-0.0109538980832,,0.00456319688643,,0.18332935485,,-0.0505514967795,,0.200984518426,,0.0439622797384,,0.0193560069825,,0.0409564258741,,-0.0791984412381,,0.077845175934,,0.00231212485164,,-0.0068871717561,,0.00599160229983,,0.00159669075886,,0.00325629795926,,0.000943783007369,,0.00255841558176,,0.00437593569627,,-0.00783973382954,,-2.82720805778e-05,,-6.12075181337e-05,,-0.000767421172795,,0.063657503397,,-0.0524159196135,,0.0023252233194,,0.0264660102009,,-0.0374933567432,,0.0563689204224,,-0.000566727415744,,0.0018957388001,,-0.00643810607608,,-2.4849404962e-05,,-0.000298076561371,,-0.000870827930664,,-1.71406958636e-05,,0.000640040654013,
