# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Apr 2019
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2018-09).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
1  0 -0.1403620        nan  0.8187239        nan -0.0670831        nan -0.0350194        nan -0.1276218        nan  0.0500496        nan  0.0754591        nan  0.0564150        nan -0.0363094        nan  0.0088031        nan  0.0355003        nan  0.0030936        nan  0.1431108        nan -0.0009370        nan  0.0021765        nan  0.0051597        nan  0.0039703        nan  0.0000963        nan -0.0024699        nan  0.0005888        nan  0.0036095        nan -0.0010865        nan  0.0046059        nan  0.0000726        nan  0.0865729        nan -0.0406369        nan  0.0277401        nan  0.0192502        nan -0.0032239        nan  0.0256051        nan  0.0079903        nan -0.0001521        nan -0.0045843        nan  0.0000174        nan -0.0051694        nan -0.0001398        nan  0.0274075        nan  0.0123556        nan
1  1  1.0522973  0.1740913 -0.4073324  0.2887276  0.0226055  0.0004662  0.0131091 -0.0100049 -1.2302121  1.0297809  0.0347271  0.0844207 -0.9479833  0.5362684  0.0357778 -0.0166087 -0.0481552  0.0131646  0.0393051 -0.0206786  0.2520131 -0.3488343  0.0292898 -0.0481710  0.0037956  0.0093697  0.0056024 -0.0077145 -0.0027173  0.0194970 -0.0009862 -0.0026794 -0.0061924  0.0060769 -0.0020967 -0.0016641 -0.0090162 -0.0035748 -0.0026804  0.0019727  0.0057881 -0.0068191 -0.0001372  0.0002909 -0.0055634 -0.0072124 -0.0010288  0.0020270 -0.1216621  0.0187872 -0.0477913  0.0228590  0.0098604  0.0177260  0.0134423 -0.0130344  0.0699919 -0.0176922  0.0481284 -0.0217057  0.0022310  0.0019839  0.0002528 -0.0010230  0.0043919 -0.0013301  0.0004101 -0.0001002 -0.0037337 -0.0036777 -0.0009521  0.0019632 -0.0082298  0.0024865 -0.0012359  0.0025434
2  0 -0.3133767        nan -0.1210147        nan  0.0473435        nan  0.0280661        nan  0.1629063        nan  0.0191446        nan  0.1125874        nan -0.0157800        nan -0.0116340        nan  0.0001271        nan -0.0859874        nan  0.0182522        nan  0.0004681        nan  0.0428545        nan  0.0075911        nan -0.0009573        nan  0.0038454        nan  0.0031828        nan  0.0015074        nan  0.0025512        nan -0.0064213        nan -0.0000888        nan  0.0020540        nan -0.0008918        nan  0.0520386        nan -0.0301657        nan  0.0109821        nan  0.0114850        nan -0.0536312        nan  0.0138113        nan -0.0027831        nan  0.0010638        nan -0.0019386        nan  0.0006215        nan  0.0027125        nan -0.0003094        nan -0.0033758        nan -0.0025458        nan
2  1  0.1414463 -0.6227498 -0.3626990  0.0657132 -0.1116947 -0.2663057  0.0036315 -0.0258444  0.0026855  0.0233085 -0.1404523  0.2247745  0.0174008 -0.0194540  0.0004589  0.0476127 -0.3094536  0.0943614  0.0109024  0.0068443  0.0485431 -0.0148733  0.0232185 -0.0688446  0.0120870 -0.0740211 -0.0066637  0.0086544  0.0001814  0.0041058  0.0001197  0.0017330  0.0034067 -0.0079370  0.0021396  0.0015571 -0.0001798  0.0204959 -0.0004872  0.0012260 -0.0007548 -0.0018122 -0.0006460 -0.0016040 -0.0035600 -0.0021428 -0.0016655 -0.0006646 -0.0178596 -0.0187157  0.0025297  0.0568678 -0.1454784  0.0720920  0.0033987 -0.0205131  0.0129443 -0.0005355  0.0166479 -0.0534870  0.0007523  0.0102328  0.0007948  0.0005575  0.0009824 -0.0005190  0.0006593  0.0000112  0.0005632 -0.0010880 -0.0009689  0.0000125  0.0003994 -0.0023337 -0.0114173 -0.0069770
2  2 -0.2406561  0.3301702  0.1227413 -0.2166161  0.0745703 -0.0014018  0.0215608  0.0371118 -0.0609631 -0.1954958 -0.0278901 -0.0017871  0.0269880  0.0153163  0.0168093 -0.0116325 -0.0144617 -0.0157541  0.0074038 -0.0034576  0.0244200  0.1448889  0.0092985  0.0004056  0.0039700 -0.0036006  0.0069142 -0.0058594 -0.0052451 -0.0002077 -0.0010137  0.0014267 -0.0049931 -0.0029426  0.0018024  0.0037698  0.0029033 -0.0035142  0.0013682 -0.0010128  0.0023416  0.0013446  0.0002262 -0.0001021  0.0045072 -0.0004305  0.0002105 -0.0007976 -0.0125867 -0.0411786 -0.0045687  0.0086386 -0.0063867  0.0053477 -0.0050194  0.0061275  0.0240513  0.0683122  0.0038711 -0.0164141 -0.0012713  0.0018929  0.0001001 -0.0002733 -0.0011219  0.0003428 -0.0003855  0.0002188  0.0009264 -0.0029901  0.0001331 -0.0010081  0.0068958 -0.0057056  0.0003574 -0.0025221
3  0 -0.0221448        nan  0.2841279        nan  0.0363256        nan -0.0228287        nan  0.0075938        nan -0.1488057        nan -0.0002856        nan  0.0229770        nan -0.1235114        nan  0.0096433        nan -0.0016277        nan  0.1037051        nan -0.0181088        nan  0.0001604        nan  0.0025601        nan -0.0018037        nan -0.0061076        nan  0.0007755        nan  0.0026459        nan -0.0011274        nan -0.0026485        nan  0.0026674        nan -0.0037757        nan -0.0011178        nan -0.0144793        nan -0.0160297        nan -0.0769024        nan  0.0004839        nan -0.0052501        nan  0.0339447        nan  0.0020206        nan  0.0012842        nan  0.0024368        nan  0.0023978        nan -0.0009687        nan -0.0015761        nan -0.0164963        nan -0.0076762        nan
3  1  0.4867442  0.0250065  0.0072733 -0.0421432  0.0110070 -0.0638839 -0.0840268  0.0641256 -0.9582709  0.9767127  0.0129319 -0.0069713 -0.6696697  0.6047395  0.0418468  0.0266475 -0.0261043  0.0281938  0.0345115  0.0147919  0.2320847 -0.3797404  0.0183121  0.0182139 -0.0012185 -0.0019346 -0.0233090 -0.0182695 -0.0057048  0.0155815  0.0020768  0.0005445 -0.0071548  0.0005610 -0.0056496 -0.0029968 -0.0029057 -0.0023605  0.0013546 -0.0017065  0.0043231 -0.0052078 -0.0002118 -0.0000655 -0.0011624 -0.0013900  0.0013562  0.0020279 -0.1085618  0.0815868 -0.0151149 -0.0281310 -0.0069551  0.0237916  0.0032289  0.0350493  0.0976728 -0.0946453  0.0211104  0.0268931  0.0017526  0.0014791  0.0005121 -0.0010796 -0.0006309 -0.0004335 -0.0003847 -0.0003505 -0.0029296 -0.0017858  0.0003679  0.0007459  0.0051500  0.0003803  0.0012938 -0.0011171
3  2  0.0972761  0.1362311  0.8270359 -0.0836593  0.0205857 -0.0321820 -0.0138756 -0.0145187 -0.0078249  0.0011834 -0.0334298  0.0838354 -0.0127929  0.0014359 -0.0380183 -0.0071764 -0.0080441  0.0161133 -0.0011467  0.0036450 -0.0072620  0.0147887 -0.0269461 -0.0166454  0.0105642  0.0102782  0.0030949 -0.0095402  0.0002083 -0.0009875  0.0010152  0.0013868  0.0010365 -0.0046946 -0.0009072 -0.0006507  0.0030746 -0.0031962 -0.0001362 -0.0002573 -0.0004526  0.0004859  0.0000708 -0.0004565 -0.0004201 -0.0011676  0.0002672 -0.0002189  0.0069630 -0.0052112  0.0254562 -0.0133749 -0.0212572  0.0008110  0.0034705  0.0025575 -0.0111059  0.0076018 -0.0301362 -0.0032014 -0.0002497  0.0024727 -0.0005235  0.0009290  0.0000138  0.0003758 -0.0003776 -0.0001288 -0.0001033 -0.0026511  0.0002473 -0.0009060 -0.0022751  0.0022009  0.0059982  0.0051080
3  3  0.0089351  0.0350268  0.0760175  0.0314721 -0.0345790  0.0038482 -0.0156119 -0.0213333  0.0072484 -0.0406489  0.0255382 -0.0540696  0.0125338  0.0136441 -0.0030515 -0.0243181  0.0048291 -0.0123607 -0.0037328  0.0079215 -0.0079290  0.0050415 -0.0047525 -0.0229764 -0.0072927  0.0013122 -0.0040723  0.0146304  0.0010383 -0.0015156  0.0021687  0.0009758  0.0054105  0.0034142  0.0021707 -0.0002671 -0.0017808  0.0001800 -0.0007764 -0.0000640 -0.0002370  0.0003392 -0.0001224 -0.0003840 -0.0048883 -0.0013416 -0.0010581  0.0002657  0.0143753  0.0039089  0.0108490  0.0163055  0.0033838  0.0061962  0.0056127  0.0014713  0.0031038 -0.0041118 -0.0094215 -0.0158795  0.0031924  0.0025785  0.0005352 -0.0002861  0.0012384  0.0009658 -0.0002005 -0.0000057 -0.0024419  0.0002363 -0.0007599  0.0002903 -0.0011869  0.0003588  0.0000961  0.0011587
4  0 -0.2657414        nan  0.1493676        nan -0.0180424        nan  0.0065439        nan  0.1976727        nan -0.0390272        nan  0.2148253        nan  0.0305656        nan  0.0168967        nan  0.0368619        nan -0.0705065        nan  0.0608914        nan  0.0014278        nan -0.0049827        nan  0.0069482        nan  0.0016757        nan  0.0032100        nan  0.0013991        nan  0.0019666        nan  0.0044624        nan -0.0078239        nan -0.0000397        nan -0.0007425        nan -0.0003812        nan  0.0631790        nan -0.0391502        nan  0.0025069        nan  0.0255868        nan -0.0353089        nan  0.0422359        nan -0.0002100        nan  0.0012507        nan -0.0066581        nan -0.0000340        nan -0.0009993        nan -0.0003950        nan -0.0000255        nan  0.0006548        nan
